==================================================================
fastsimcoal started on 26/06/2025 at 16:00:21

TMRCAs per non-recombining segment
Locus	Segment_length	Data_Type	Time_(gen)	deme	Num_Mutations
0	1	data unknown	2824.88	0	0
1	1	data unknown	6726.21	0	0
2	1	data unknown	10346.6	0	0
3	1	data unknown	11040.6	0	0
4	1	data unknown	19376.5	0	0
5	1	data unknown	11166.4	0	0
6	1	data unknown	8731.94	0	0
7	1	data unknown	387.878	0	0
8	1	data unknown	22640.4	0	0
9	1	data unknown	9734.67	0	0
10	1	data unknown	13253.9	0	0
11	1	data unknown	1996.92	0	0
12	1	data unknown	2019.83	0	0
13	1	data unknown	18551.4	0	0
14	1	data unknown	10980	0	0
15	1	data unknown	1620.45	0	0
16	1	data unknown	895.729	0	0
17	1	data unknown	15121.4	0	0
18	1	data unknown	10836.1	0	0
19	1	data unknown	1174.62	0	0
20	1	data unknown	8232.17	0	0
21	1	data unknown	4375.78	0	0
22	1	data unknown	34434.3	0	0
23	1	data unknown	1437.57	0	0
24	1	data unknown	4591.54	0	0
25	1	data unknown	3016.38	0	0
26	1	data unknown	41265.6	0	0
27	1	data unknown	14472.7	0	0
28	1	data unknown	10872.8	0	0
29	1	data unknown	29674.2	0	0
30	1	data unknown	10448.4	0	0
31	1	data unknown	6203.86	0	0
32	1	data unknown	12387.9	0	0
33	1	data unknown	2894.69	0	0
34	1	data unknown	22636.4	0	0
35	1	data unknown	3355.35	0	0
36	1	data unknown	14959.1	0	0
37	1	data unknown	16925.1	0	0
38	1	data unknown	3941.21	0	0
39	1	data unknown	491.753	0	0
40	1	data unknown	2035.69	0	0
41	1	data unknown	803.49	0	0
42	1	data unknown	8462.62	0	0
43	1	data unknown	1480.48	0	0
44	1	data unknown	2001.41	0	0
45	1	data unknown	2021	0	0
46	1	data unknown	8707.45	0	0
47	1	data unknown	28104.2	0	0
48	1	data unknown	22793.6	0	0
49	1	data unknown	20320.1	0	0
50	1	data unknown	3706.53	0	0
51	1	data unknown	10094.8	0	0
52	1	data unknown	1475.49	0	0
53	1	data unknown	24473.5	0	0
54	1	data unknown	17197.9	0	0
55	1	data unknown	6882.73	0	0
56	1	data unknown	2019.14	0	0
57	1	data unknown	2036.35	0	0
58	1	data unknown	16815.9	0	0
59	1	data unknown	14017.7	0	0
60	1	data unknown	4147.05	0	0
61	1	data unknown	14029.8	0	0
62	1	data unknown	8692.23	0	0
63	1	data unknown	8649.01	0	0
64	1	data unknown	1352.23	0	0
65	1	data unknown	2859.48	0	0
66	1	data unknown	14692.1	0	0
67	1	data unknown	2003.88	0	0
68	1	data unknown	2008.34	0	0
69	1	data unknown	2033.28	0	0
70	1	data unknown	2716.47	0	0
71	1	data unknown	10161.7	0	0
72	1	data unknown	3282.6	0	0
73	1	data unknown	6257.38	0	0
74	1	data unknown	1333.43	0	0
75	1	data unknown	7414.53	0	0
76	1	data unknown	4925.29	0	0
77	1	data unknown	121.422	0	0
78	1	data unknown	2039.43	0	0
79	1	data unknown	2012.74	0	0
80	1	data unknown	216.141	0	0
81	1	data unknown	2006.44	0	0
82	1	data unknown	16526.4	0	0
83	1	data unknown	16324.9	0	0
84	1	data unknown	38.2233	0	0
85	1	data unknown	5644.59	0	0
86	1	data unknown	9478.44	0	0
87	1	data unknown	5438.29	0	0
88	1	data unknown	2646.08	0	0
89	1	data unknown	6578.62	0	0
90	1	data unknown	3162.44	0	0
91	1	data unknown	4001.87	0	0
92	1	data unknown	2403.62	0	0
93	1	data unknown	12328.7	0	0
94	1	data unknown	887.108	0	0
95	1	data unknown	20223.9	0	0
96	1	data unknown	1785.13	0	0
97	1	data unknown	11928	0	0
98	1	data unknown	5839.86	0	0
99	1	data unknown	9983.24	0	0
100	1	data unknown	2035.33	0	0
101	1	data unknown	19526.1	0	0
102	1	data unknown	2030.8	0	0
103	1	data unknown	10588.7	0	0
104	1	data unknown	611.42	0	0
105	1	data unknown	860.863	0	0
106	1	data unknown	34.2941	0	0
107	1	data unknown	20407.1	0	0
108	1	data unknown	15069.6	0	0
109	1	data unknown	29433.3	0	0
110	1	data unknown	2021.07	0	0
111	1	data unknown	1937.48	0	0
112	1	data unknown	35709.7	0	0
113	1	data unknown	872.993	0	0
114	1	data unknown	2042.24	0	0
115	1	data unknown	1524.01	0	0
116	1	data unknown	8576.6	0	0
117	1	data unknown	13623.2	0	0
118	1	data unknown	2679.84	0	0
119	1	data unknown	888.977	0	0
120	1	data unknown	37460.3	0	0
121	1	data unknown	36292.3	0	0
122	1	data unknown	6863.46	0	0
123	1	data unknown	3877.74	0	0
124	1	data unknown	2047.55	0	0
125	1	data unknown	828.667	0	0
126	1	data unknown	2856.77	0	0
127	1	data unknown	9603.63	0	0
128	1	data unknown	2027.66	0	0
129	1	data unknown	3083.9	0	0
130	1	data unknown	6994.34	0	0
131	1	data unknown	12218.5	0	0
132	1	data unknown	17932.8	0	0
133	1	data unknown	39904.1	0	0
134	1	data unknown	11235.5	0	0
135	1	data unknown	67035.9	0	0
136	1	data unknown	616.76	0	0
137	1	data unknown	2178.36	0	0
138	1	data unknown	10574.7	0	0
139	1	data unknown	18376.4	0	0
140	1	data unknown	15896.6	0	0
141	1	data unknown	4014.15	0	0
142	1	data unknown	2047.49	0	0
143	1	data unknown	2026.26	0	0
144	1	data unknown	3032.48	0	0
145	1	data unknown	17875.5	0	0
146	1	data unknown	2028.16	0	0
147	1	data unknown	19320.7	0	0
148	1	data unknown	2011.12	0	0
149	1	data unknown	8031.56	0	0
150	1	data unknown	2279.3	0	0
151	1	data unknown	2180.69	0	0
152	1	data unknown	602.531	0	0
153	1	data unknown	3244.31	0	0
154	1	data unknown	35265.9	0	0
155	1	data unknown	27897.9	0	0
156	1	data unknown	2020.52	0	0
157	1	data unknown	8773.71	0	0
158	1	data unknown	2019.34	0	0
