N1,N2,T_split,MigRate,Fst,dxy,segsites1,segsites2,pi1,pi2,tajima1,tajima2
150000,5000,8872,0,0.10227659558454805,0.09791663999999897,0.3706,0.175,0.09378685714285512,0.06570497959183663,0.4893569359210116,2.495810935885377
150000,5000,6387,0,0.15389838516707188,0.09859655999999802,0.4143,0.0948,0.09703281632652819,0.0475600000000001,0.1798327694107036,4.55865112951
150000,5000,8339,0,0.10877201601367914,0.10044647999999881,0.3868,0.1951,0.09568179591836495,0.06579542857142917,0.39581275198381055,1.8694779663514374
150000,5000,8131,0,0.20302580451596253,0.10033503999999899,0.386,0.1271,0.09667746938775289,0.03626138775510216,0.44656770273773855,1.0166908125947394
150000,5000,3906,0,0.046372266655215655,0.09703759999999907,0.4036,0.2624,0.09661469387754845,0.08025877551020352,0.2647474857314361,1.355465245945274
150000,5000,7671,0,0.29457332574143236,0.09691303999999848,0.3915,0.0859,0.09889763265305888,0.006720244897959236,0.481902409047067,-2.3735137082231654
150000,5000,9192,0,0.35572372712114597,0.10290999999999821,0.4016,0.0002,0.097732734693875,7.844897959183674e-05,0.3300139244687576,1.350449873555744
150000,5000,4949,0,0.12615720150257648,0.10110263999999891,0.4379,0.199,0.09992171428571138,0.056979673469387856,0.08093055035339872,1.0345448969821918
150000,5000,9070,0,0.22919583619886086,0.09882551999999835,0.3811,0.0979,0.09335926530612038,0.03058375510204145,0.35650438333532297,1.4596643055383014
150000,5000,7007,0,0.28276617234772006,0.09706599999999845,0.401,0.0345,0.09379828571428306,0.014746857142857126,0.17493436390483924,3.323538435884031
150000,5000,9332,0,0.2660984200481593,0.10044119999999832,0.4083,0.1571,0.09802081632652782,0.01842187755102031,0.2760481619481269,-1.7376782753053601
150000,5000,7248,0,0.11872309383725621,0.09899695999999801,0.4138,0.1327,0.09835126530611991,0.05761893877551095,0.23678051146085785,3.457122469000759
150000,5000,8434,0,0.21539892574782682,0.10330215999999832,0.4124,0.1084,0.09628122448979345,0.037092244897960765,0.16762836663015587,1.9479306829320373
150000,5000,5608,0,0.15504336579334022,0.09998967999999857,0.4008,0.1789,0.09596391836734457,0.05032832653061214,0.2655444299068845,0.9522164607984637
150000,5000,6380,0,0.12238821223209773,0.10457375999999838,0.4081,0.1993,0.09902971428571204,0.064505795918367,0.3185605352135012,1.6468470936333048
150000,5000,7358,0,0.2712308877841346,0.1028020799999988,0.4062,0.1001,0.0986802448979565,0.01918816326530603,0.32306866829594644,-0.5168723268964388
150000,5000,3618,0,0.06793758038244235,0.10072463999999844,0.4282,0.2258,0.10124187755101755,0.07457673469387739,0.2163933733326949,1.7556929674173445
150000,5000,5227,0,0.10689140896869564,0.10414799999999852,0.4218,0.1974,0.10134351020407888,0.06672261224489852,0.27923631915493713,1.8821042260714198
150000,5000,7470,0,0.12328038296568045,0.09721431999999833,0.3987,0.1584,0.09474236734693652,0.05700906122448962,0.23595191800139387,2.2403705668075866
150000,5000,7082,0,0.08966622378652933,0.09792895999999848,0.4204,0.1658,0.09974432653060926,0.06388016326530656,0.22992609364452066,2.6566893809548557
150000,5000,6332,0,0.05223122242126599,0.0970180799999988,0.4058,0.2088,0.0947474285714257,0.0800253877551017,0.1679125184033715,2.6245987059694253
150000,5000,10537,0,0.21675139752199657,0.10106175999999877,0.3985,0.101,0.09801763265305888,0.032093551020408666,0.37282256107509987,1.547586057584976
150000,5000,10820,0,0.28874454869036836,0.09396383999999892,0.3686,0.095,0.09204538775510006,0.011671510204081562,0.43434527173588383,-1.6437405990276768
150000,5000,9891,0,0.13860108307805352,0.1023706399999988,0.3881,0.1298,0.09887828571428323,0.056016979591837025,0.5174065296189214,3.413660954217151
150000,5000,6816,0,0.14262900092285458,0.09361847999999888,0.3993,0.1523,0.09372889795918109,0.04676424489795879,0.1884282528544855,1.373760798879396
150000,5000,7876,0,0.15846000150083428,0.09858607999999862,0.3984,0.0942,0.09675379591836519,0.04647795918367356,0.3217635265911122,4.422808963434918
150000,5000,7851,0,0.16594175189284333,0.10079975999999846,0.408,0.1102,0.09836889795918084,0.04584563265306081,0.29295005682377395,3.15758381012796
150000,5000,8636,0,0.15929075146398475,0.10677847999999912,0.3971,0.1675,0.10312857142856885,0.051741387755101974,0.5983247357507135,1.4043628238212622
150000,5000,7037,0,0.0675151263327729,0.100229199999999,0.4159,0.1977,0.10043379591836486,0.07466857142857178,0.2992777040551732,2.5328997275738327
150000,5000,7516,0,0.20432282073166075,0.101393759999998,0.4155,0.1191,0.09953159183673174,0.03444693877551052,0.2674498693157347,1.080889126427388
150000,5000,9134,0,0.3585419312865977,0.10023399999999857,0.3822,0.0001,0.09464644897958992,7.836734693877551e-06,0.4002127215904974,-0.8719070794312416
150000,5000,4787,0,0.06829235463991312,0.09637055999999775,0.4226,0.2045,0.09502081632652797,0.07307771428571425,0.026170282234998496,2.1994477549813736
150000,5000,6088,0,0.14458625957382454,0.10035679999999818,0.3982,0.162,0.09701828571428303,0.0529862857142857,0.33466855425122843,1.7022104655696424
150000,5000,6377,0,0.11793870637169968,0.09837983999999833,0.4017,0.1541,0.0959098775510177,0.05933485714285652,0.2545309902444609,2.652311439528911
150000,5000,6624,0,0.182296146230009,0.09605543999999852,0.3983,0.0985,0.09435608163265083,0.038512326530612304,0.2239493250197394,2.746572408221272
150000,5000,5603,0,0.12027435642085527,0.0936027999999987,0.3854,0.1664,0.09144024489795699,0.05556799999999944,0.22991166737324933,1.8148847115919153
150000,5000,7933,0,0.1415845338053161,0.09923623999999881,0.3628,0.1335,0.0945259591836714,0.054715591836735064,0.612088495823529,3.058113437762742
150000,5000,7206,0,0.32848088858727786,0.10606743999999856,0.4069,0.013,0.102160489795916,0.005069224489795934,0.4566082071441351,2.672814379659562
150000,5000,9811,0,0.15447433618716389,0.10009167999999868,0.3938,0.1577,0.09636530612244656,0.050247020408163465,0.3521324914081598,1.5635556096305148
150000,5000,8251,0,0.34171422305001387,0.10199447999999867,0.3888,0.0356,0.09728661224489576,0.0027965714285714347,0.44268020119924156,-2.3558674675496496
150000,5000,11495,0,0.1348734406006732,0.09527199999999922,0.363,0.138,0.0913068571428556,0.05394693877551033,0.4641767481315028,2.74801566321635
150000,5000,6029,0,0.11276853817898602,0.10045839999999864,0.4047,0.1736,0.09834351020407897,0.06185126530612263,0.3241899583779647,2.181415653605436
150000,5000,8866,0,0.09538651727674807,0.10381415999999877,0.393,0.1637,0.09892783673469152,0.07253983673469286,0.4673390089853763,3.6049936190271383
150000,5000,4106,0,0.05552512207906202,0.09535551999999843,0.4131,0.2193,0.09544285714285496,0.07520375510204098,0.12782050711818102,1.9631053612248512
150000,5000,9429,0,0.1924744812717124,0.09807343999999907,0.3767,0.1502,0.09229787755101779,0.040529795918367535,0.3572195650006559,0.7636637985394711
150000,5000,8540,0,0.1516617116836112,0.10328711999999882,0.3825,0.164,0.09457877551020198,0.0575881632653061,0.3941208615303881,2.096924914020108
150000,5000,10924,0,0.29900653815843725,0.10199071999999873,0.4059,0.106,0.09614922448979354,0.013926938775510279,0.223658528323859,-1.5046384371627253
150000,5000,5473,0,0.0952288264188933,0.10013399999999907,0.4095,0.1647,0.09858963265305838,0.06685224489795938,0.28730217525060864,2.994718881977253
150000,5000,6715,0,0.0976106254846223,0.10158751999999843,0.3967,0.157,0.09960130612244647,0.0674369795918373,0.45667062235396483,3.381862118460181
150000,5000,10203,0,0.18677158767061464,0.10115671999999881,0.4,0.1361,0.10026808163265027,0.03836604081632637,0.45003506911038904,0.9611021558778444
150000,5000,6452,0,0.13373526632379484,0.09532623999999859,0.4077,0.1153,0.09431575510203836,0.05135804081632658,0.13267152973732718,3.639755042305177
150000,5000,7968,0,0.1749772748757651,0.09604471999999907,0.3694,0.1717,0.09396310204081432,0.04091453061224545,0.5106803897362042,0.24656503294134283
150000,5000,8331,0,0.2020617083938243,0.0959445599999986,0.3815,0.1369,0.09313518367346743,0.03424236734693813,0.34264744424079485,0.4404351123936331
150000,5000,9514,0,0.27153935707011323,0.10331399999999867,0.3877,0.1161,0.09953248979591563,0.01884399999999948,0.5494184493634371,-0.9984484209694955
150000,5000,8944,0,0.15428659160403624,0.09568159999999884,0.3609,0.1302,0.08775502040816156,0.05245142857142875,0.32666285973644793,2.943183677083066
150000,5000,4171,0,0.06666894547436364,0.10276151999999832,0.4465,0.2168,0.10423126530611973,0.07560057142857181,0.16722889623854578,2.057963369155494
150000,5000,11740,0,0.34692449565323635,0.10033399999999876,0.3741,0.0001,0.09729273469387531,4e-06,0.6043217640043644,-1.1027964465679785
150000,5000,4957,0,0.14875891575548617,0.1042642399999979,0.4195,0.1533,0.10083975510203831,0.05368179591836702,0.28114681705150724,2.080694673557918
150000,5000,7686,0,0.11392267903633813,0.09692759999999827,0.3991,0.1633,0.09456506122448735,0.05963836734693891,0.22475015186752664,2.327432280538133
150000,5000,9072,0,0.3479941131581865,0.09084599999999872,0.3687,0.0002,0.08782759183673249,5.428571428571428e-05,0.2454663860952013,0.3849760804119992
150000,5000,8925,0,0.16956248425959208,0.10207967999999845,0.3958,0.0962,0.09844922448979375,0.04651232653061176,0.41826171659806644,4.261018505877337
150000,5000,5658,0,0.14091633140172866,0.09625895999999881,0.4089,0.1464,0.09656751020407921,0.0483940408163271,0.21192347744121168,1.7589695926475144
150000,5000,8221,0,0.17202363554389277,0.09641639999999874,0.3789,0.1277,0.09340138775510011,0.04282538775510259,0.3816745719142935,1.837043969282974
150000,5000,11489,0,0.23980287646796994,0.10005383999999802,0.3956,0.0536,0.09664253061224244,0.02605542857142862,0.3453601721909615,4.292446092731173
150000,5000,6358,0,0.15601441537802985,0.09597671999999821,0.4015,0.1223,0.09420767346938515,0.04593412244897931,0.18689032981477996,2.495945079418199
150000,5000,10656,0,0.22797605233512108,0.10529791999999812,0.4004,0.1119,0.10170824489795678,0.03069257142857205,0.5049660309411801,0.8359491267763942
150000,5000,7761,0,0.10465008896658567,0.09709975999999806,0.3878,0.1459,0.09322922448979325,0.06417493877551007,0.2815330342654208,3.5505122116435373
150000,5000,9725,0,0.29091109523822045,0.09875767999999846,0.368,0.0832,0.09288808163265104,0.015605795918367298,0.47861366678874917,-0.5839638558139658
150000,5000,8438,0,0.13792977616243207,0.09545999999999893,0.4176,0.1433,0.09737151020407869,0.04726522448979664,0.16276608218158278,1.74698112151328
150000,5000,7720,0,0.1681195726651009,0.09428103999999835,0.3938,0.144,0.0916897142857118,0.04259542857142843,0.15724112127538148,1.1891593883965368
150000,5000,8709,0,0.18564677722816614,0.09858527999999854,0.399,0.0896,0.09564269387754856,0.03978253061224517,0.27005862264631003,3.6134748698111934
150000,5000,10739,0,0.18507701433706736,0.0918939199999989,0.362,0.076,0.09132612244897777,0.03505632653061251,0.47645394818681863,3.893616493273713
150000,5000,7988,0,0.14654535833985205,0.09867023999999869,0.4037,0.1058,0.09950351020407949,0.04739093877551069,0.38123732142698447,3.6797884604595903
150000,5000,4575,0,0.18352434615876834,0.10072975999999756,0.4268,0.1555,0.09884587755101748,0.040134612244898414,0.13696867296869078,0.5712778685239897
150000,5000,11096,0,0.15772525398674386,0.09931039999999795,0.3804,0.1114,0.09373273469387548,0.05076897959183693,0.3800183335811696,3.8082241337512786
150000,5000,9488,0,0.24223116819147728,0.09931847999999845,0.3868,0.0942,0.09489012244897745,0.02627967346938792,0.3622169566859067,0.9123124934047294
150000,5000,6791,0,0.09765831409020043,0.10564367999999835,0.4143,0.1607,0.10233469387754833,0.07135632653061195,0.389902784025883,3.6197437000666404
150000,5000,7910,0,0.14132972138597444,0.10016807999999897,0.4023,0.1757,0.09957975510203854,0.05114155102040811,0.39842707582303116,1.1121010914812248
150000,5000,8168,0,0.10715230132895515,0.09988567999999802,0.4085,0.1582,0.09814669387754815,0.06295616326530633,0.27917712772356146,2.864138786231218
150000,5000,10570,0,0.19840681166523289,0.09568583999999858,0.3763,0.1153,0.092331020408161,0.03567412244897958,0.3629399256783815,1.411316280372094
150000,5000,7637,0,0.15744309298257286,0.10048559999999841,0.3818,0.1043,0.09636889795918203,0.049927428571428296,0.4785218977857212,4.183418683320544
150000,5000,6679,0,0.11541695617070336,0.10224479999999828,0.417,0.1777,0.09740171428571145,0.06476906122449087,0.16946219138660926,2.315964528068927
150000,5000,9383,0,0.1318715909310667,0.10201839999999883,0.4034,0.1761,0.10055077551020147,0.05594236734693882,0.42686083147502357,1.5483065272487508
150000,5000,9658,0,0.14686329895552563,0.09976399999999831,0.3809,0.1527,0.09691942857142635,0.05150685714285751,0.5120343815635215,1.8697377959877988
150000,5000,8784,0,0.08202649937601525,0.10306807999999898,0.4026,0.1923,0.10109951020407916,0.07378302040816367,0.4573636312128026,2.6312008664859974
150000,5000,11895,0,0.2512418273972813,0.09948567999999929,0.3691,0.1032,0.09567126530612022,0.023395591836734526,0.5900349685651919,0.05646102546965819
150000,5000,8020,0,0.14755065026340652,0.09866183999999863,0.4,0.0974,0.09824710204081415,0.04833330612244998,0.36709981659216817,4.469782101829674
150000,5000,5785,0,0.14862306451487395,0.10392623999999796,0.4164,0.1949,0.09606718367346676,0.05799624489795946,0.12237680927377857,1.218843884629108
150000,5000,9514,0,0.32223960196299606,0.09777767999999855,0.374,0.0104,0.09517232653061014,0.005066448979591847,0.5124034986909566,4.20691363129546
150000,5000,4505,0,0.05981143236330433,0.09545807999999888,0.412,0.2085,0.09561028571428286,0.07375681632653033,0.1446169110633883,2.1404885853386566
150000,5000,7224,0,0.0803533380971827,0.10150927999999869,0.3989,0.2199,0.09719493877550804,0.07562383673469399,0.3349201933463618,1.9791014425830884
150000,5000,7013,0,0.0950158564202015,0.09633759999999843,0.3945,0.1409,0.09705730612244652,0.06218057142857182,0.3737989477962568,3.574071737207214
150000,5000,9753,0,0.15169400676768863,0.09851887999999813,0.4097,0.0994,0.09648318367346695,0.04864938775510225,0.20097536537203495,4.358650608896814
150000,5000,7480,0,0.12001698517635251,0.10164687999999827,0.3972,0.1596,0.0976106938775489,0.062114612244897116,0.3692186577614824,2.720509188749196
150000,5000,6280,0,0.14590098470418866,0.10098727999999861,0.4166,0.1291,0.09700040816326227,0.05354163265306048,0.1573307852882815,3.137755292382027
150000,5000,7744,0,0.25178413673982125,0.09680479999999876,0.4011,0.0975,0.09688473469387508,0.018839510204081318,0.300289131875704,-0.4916809480105642
150000,5000,7661,0,0.24507083971206378,0.09901831999999833,0.4046,0.1482,0.09636432653060996,0.023712081632652555,0.24487839265159494,-1.0368771439360167
150000,5000,10756,0,0.15847112657443463,0.10264375999999854,0.4041,0.1147,0.09586171428571182,0.05326187755102079,0.22929888118180028,3.9497896900576377
150000,5000,8968,0,0.16453686613036878,0.10366207999999802,0.3993,0.111,0.09763240816326285,0.05110628571428642,0.3488978012540856,3.884863401160713
150000,5000,9897,0,0.18500139731729504,0.10206423999999903,0.3867,0.1484,0.0990305306122422,0.04136122448979614,0.5390077396743407,0.9091371848166142
150000,5000,9094,0,0.10365763349893775,0.09819951999999894,0.3859,0.1747,0.0940415510204059,0.06546514285714276,0.33551332011453683,2.483863742721621
150000,5000,6037,0,0.09905187370918955,0.10405223999999866,0.4068,0.1714,0.10093273469387501,0.06966097959183616,0.40807919039448665,3.0034792259375385
